sep=,
Tipo,Frequencia
Program,1
ExpressionStatement,304
CallExpression,340
MemberExpression,584
ThisExpression,26
FunctionExpression,162
Identifier,2824
BlockStatement,264
VariableDeclaration,186
IfStatement,132
FunctionDeclaration,5
VariableDeclarator,244
BinaryExpression,237
AssignmentExpression,297
UnaryExpression,101
LogicalExpression,89
Literal,346
ReturnStatement,202
ArrayExpression,25
WhileStatement,8
ObjectExpression,16
UpdateExpression,41
Property,19
SwitchStatement,2
ForStatement,30
ForInStatement,3
TryStatement,1
ConditionalExpression,36
SwitchCase,9
SequenceExpression,3
ThrowStatement,3
CatchClause,1
NewExpression,6
ContinueStatement,1
BreakStatement,1
